Modelo,C-index,Brier_90d,Brier_180d,Brier_365d
Weibull,0.5,0.09485290676012614,0.1895566266108002,0.24812522902116468
Cox,0.5780113759089928,0.09551821336483186,0.1866780792391169,0.2344205739285399
